San Diego State,SDSU,SanDiego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,SanFra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco State,SFSU,San Francisco State Ba,San Francisco State Bak,San Francisco State Binley & Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU,Southern Methodist,SouMe,Southern Methodist Boyd & Madat,Southern Methodist Fitussi & Bol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwestern,Southwestern Berry & Pe,Southwestern C,Southwestern College,SouCol ,SouCol,Southwestern College Barreto & Elizarra,Southwestern College Del Castillo & Doug,Southwestern Cruz & Ber,Southwestern Macias & Parm,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNY Bro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Texas Blaker & Wilczyn,Texas Bleiweiss & Pa,Texas C,Texas Chowdhury & Mal,Texas Clarke & Stran,Texas Fitz & Mak,Texas Harun & Seg,Texas Kilpatrick & Stran,Texas Sahara Khan & Jasmine ,Texas Segura & Jo,Texas Sen & Wa,Texas Wilczynski & Mak,UT-An,UT-Ant,,,,,,,,,,,,,,,,,,,,
Towson,Towso,Towson Begum & Good,Towson Booker & Medei,Towson Gillespie & Under,Towson Johnson & Ruf,Towson Thomas & Whit,Towson University,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,TriU,Trinit,Trini,TriUni,Trinity Deshpande & Udaw,Trinity Dill & Khul,Trinity Ha & Mith,Trinity Rothenbaum & Sol,Trinity Udawala & Tor,Trinity Vail & Yo,,,,,,,,,,,,,,,,,,,,,,,,
UChicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDC-CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,Southern California,Southern Califor,SouCal,Southern Cal,Southern California Berger & Lar,Southern California Haas & Saied,Southern California Purk & Vitzil,Southern California Nhan & Over,,,,,,,,,,,,,,,,,,,,,,,,,,
USF,South Florida,SoFlorida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,Nevada Las Vegas,Nevada Las Vegas Bhatti & Jall,Nevada Las Vegas Brooks & Stanfi,Nevada Las Vegas Gomez & Ve,Nevada Las Vegas Kezios & Og,Nevada Las Vegas Rodriguez & Ve,Nevada Las Vegas Saxe & Jall,,,,,,,,,,,,,,,,,,,,,,,,,,,
USMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Dallas,UT Dallas Aisha Bawany & Gabriel Sanc,UT Dallas B,UT Dallas Baez & K,UT Dallas Ballard & Flana,UT Dallas Becker & John,UT Dallas Gilbert & Ri,UT Dallas Kapoor & B,UT Dallas Ogbuli & Lo,UT Dallas Sanchez & Sanc,UT Dallas Vera & Do,UTD,UTDal,UTDallas,,,,,,,,,,,,,,,,,,,,,
